EGID;GDEKT;GDENR;GDENAME;GSTAT;GSTATLAB_DE;GSTATLAB_FR;GSTATLAB_IT;GKODE;GKODN;EDID;EGAID;ESID;STRNAME;DEINR;STRSP;DPLZ4;DPLZZ;DPLZNAME;DKODE;DKODN;DOFFADR;DEXPDAT
11143483;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718842.47;1088075.64;0;101246362;10128278;Quartiere Prà Comun;1;IT;6817;0;Maroggia;2718842.47;1088075.64;0;2021-07-19 00:00:00
11143484;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718903.87;1088037.17;0;101604486;10139140;Viale Stazione;8;IT;6817;0;Maroggia;2718903.87;1088037.17;0;2021-07-19 00:00:00
11143484;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718903.87;1088037.17;1;102197529;10138437;Via Dr. Willy Fröhlich;1;IT;6817;0;Maroggia;2718903.87;1088037.17;0;2021-07-19 00:00:00
11143485;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718915.49;1088020.45;0;102196878;10139140;Viale Stazione;10;IT;6817;0;Maroggia;2718915.49;1088020.45;0;2021-07-19 00:00:00
11143486;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718953.36;1087984.11;0;102188502;10139140;Viale Stazione;16;IT;6817;0;Maroggia;2718953.36;1087984.11;0;2021-07-19 00:00:00
11143487;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718870.186;1088014.741;0;101246363;10138437;Via Dr. Willy Fröhlich;5;IT;6817;0;Maroggia;2718870.186;1088014.741;0;2021-07-19 00:00:00
11143487;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718870.186;1088014.741;1;101891967;10138437;Via Dr. Willy Fröhlich;7;IT;6817;0;Maroggia;2718870.186;1088014.741;0;2021-07-19 00:00:00
11143488;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718814.976;1087961.25;0;101246364;10138437;Via Dr. Willy Fröhlich;6;IT;6817;0;Maroggia;2718814.976;1087961.25;0;2021-07-19 00:00:00
11143488;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718814.976;1087961.25;1;101891968;10138437;Via Dr. Willy Fröhlich;8;IT;6817;0;Maroggia;2718814.976;1087961.25;0;2021-07-19 00:00:00
11143489;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718853.185;1087940.738;0;101246365;10138437;Via Dr. Willy Fröhlich;11;IT;6817;0;Maroggia;2718853.185;1087940.738;0;2021-07-19 00:00:00
