index;geometry;length
105;LINESTRING (717716.8110069723 96736.46377150671, 717740.2 96770);40.8867168699125
106;LINESTRING (717642.0385609693 96759.48778059256, 717581.3917434308 96778.4052872833);63.52880084612551
107;LINESTRING (717581.3917434308 96778.4052872833, 717584.020670501 96799.08151094742);20.842684149354824
108;LINESTRING (717584.020670501 96799.08151094742, 717514.3304974528 96815.75654824892);71.65735892779816
109;LINESTRING (717514.3304974528 96815.75654824892, 717510.4047694046 96789.21791564611);26.82741808552021
110;LINESTRING (717510.4047694046 96789.21791564611, 717509.075890342 96780.21935597243);9.096152800150147
111;LINESTRING (717509.075890342 96780.21935597243, 717506.0020796134 96780.52681876183, 717488.2 96793);24.82608343067774
112;LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407);64.26870369039317
113;LINESTRING (717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619);43.89973694232901
114;LINESTRING (717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982);13.537486229873558
115;LINESTRING (717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245);28.822101882626807
116;LINESTRING (717847.2113707147 96657.81369344245, 717839.7904338011 96609.03614580077);49.33882303635041
117;LINESTRING (717818.6767743855 96661.87452700982, 717816.1981736147 96644.26988673711, 717812.2544091307 96602.34227488127, 717802.883324687 96538.24973893816, 717803.0614690348 96507.48749634066, 717805.0374268553 96489.090854838, 717805.8967181939 96481.13534345441, 717814.2476277475 96427.24883151129, 717815.8590638469 96418.46287837358, 717816.9558453442 96411.44595180338, 717812.4 96404.2);261.0555054556162
118;LINESTRING (717847.2113707147 96657.81369344245, 717862.9078106588 96656.59492841798);15.743684927720855
119;LINESTRING (717862.9078106588 96656.59492841798, 717878.2765427198 96657.0932580037);15.376809081826696
120;LINESTRING (717878.2765427198 96657.0932580037, 717911.4272505365 96661.88390627901);33.49507037828418
121;LINESTRING (717911.4272505365 96661.88390627901, 717963.4113744211 96673.86735121012);53.34746562363446
122;LINESTRING (717963.4113744211 96673.86735121012, 717975.0857023215 96675.50613941689);11.788789535516274
123;LINESTRING (717975.0857023215 96675.50613941689, 717983.3358276468 96616.90351851113);59.18050139114338
124;LINESTRING (717975.0857023215 96675.50613941689, 718033.6424105247 96684.53792444225);59.24914527936038
125;LINESTRING (718033.6424105247 96684.53792444225, 718069.5088386514 96691.09450119219);36.4607921642598
126;LINESTRING (718069.5088386514 96691.09450119219, 718092.6271691446 96694.65712178394);23.391226352513392
127;LINESTRING (718092.6271691446 96694.65712178394, 718094.2069161816 96683.13539731683);11.629519998561955
128;LINESTRING (718094.2069161816 96683.13539731683, 718100.9793045996 96643.61740810893);40.09409826794756
129;LINESTRING (718100.9793045996 96643.61740810893, 718120.2 96658);24.006125909427197
130;LINESTRING (717826.0630479951 96718.83480217407, 717770.2385166009 96727.52573902498);56.496997165561964
131;LINESTRING (718069.5088386514 96691.09450119219, 718069.2962110878 96694.85964172965);3.7711395820912657
132;LINESTRING (718069.2962110878 96694.85964172965, 718065.8358293166 96761.29392601224);66.52434419174669
133;LINESTRING (717509.075890342 96780.21935597243, 717508.4862086363 96776.26078308352);4.0022523447201195
134;LINESTRING (718233.0559051617 96733.58027230673, 718232.2909087342 96735.86697627923);2.4112724010058653
135;LINESTRING (718232.2909087342 96735.86697627923, 718232.3061388931 96738.26893452772);2.402006533137124
136;LINESTRING (718232.3061388931 96738.26893452772, 718233.0906487993 96740.55243912125);2.414508028898775
137;LINESTRING (718233.0906487993 96740.55243912125, 718234.5721865166 96742.44923283609);2.406819562073064
138;LINESTRING (718234.5721865166 96742.44923283609, 718236.5836224232 96743.78928127422);2.416941088034688
139;LINESTRING (718236.5836224232 96743.78928127422, 718238.7799254872 96744.38796860359);2.2764388125542854
140;LINESTRING (718238.7799254872 96744.38796860359, 718241.0593391947 96744.29890846393);2.2811529010861014
141;LINESTRING (718241.0593391947 96744.29890846393, 718243.2048081729 96743.52899495304);2.279430619850136
142;LINESTRING (718243.2048081729 96743.52899495304, 718245.0136837413 96742.14099630383);2.280037515551581
143;LINESTRING (718245.0136837413 96742.14099630383, 718255.8449681449 96761.20932449028);21.92983952647741
144;LINESTRING (718255.8449681449 96761.20932449028, 718292.5258567531 96803.88584998703);56.27409188572227
145;LINESTRING (718292.5258567531 96803.88584998703, 718316.1311951691 96831.34201217127);36.20846370144475
146;LINESTRING (718316.1311951691 96831.34201217127, 718326.3124727745 96843.19282512201);15.623705747136077
147;LINESTRING (718326.3124727745 96843.19282512201, 718303.4280725182 96885.7324275522);48.304384376682215
148;LINESTRING (717508.4862086363 96776.26078308352, 717538.0861580437 96771.95226875166);29.911875579240558
149;LINESTRING (717538.0861580437 96771.95226875166, 717547.2 96787);17.592507806614606
150;LINESTRING (717538.0861580437 96771.95226875166, 717541.326467996 96770.24707730148, 717542.137227333 96766.78258620817, 717537.6771057565 96754.65465132998, 717524 96756.60000000001);33.95650435039912
151;LINESTRING (717642.0385609693 96759.48778059256, 717656.7811728688 96815.50063696461, 717691 96821.7);92.69636017660979
152;LINESTRING (718092.6271691446 96694.65712178394, 718109.7074843335 96697.96901131078);17.398441861056902
153;LINESTRING (718109.7074843335 96697.96901131078, 718155.1684743157 96705.5354332995);46.0863575460908
154;LINESTRING (718155.1684743157 96705.5354332995, 718167.8018730031 96707.64911844666);12.808997903731072
155;LINESTRING (718167.8018730031 96707.64911844666, 718188.6765907743 96713.43670136797);21.662178055265436
156;LINESTRING (718188.6765907743 96713.43670136797, 718220.8810783908 96724.62619042842);34.09301523876352
157;LINESTRING (718220.8810783908 96724.62619042842, 718233.0559051617 96733.58027230673);15.11297420050314
158;LINESTRING (718268.7622614742 96875.6731570327, 718274.1950283051 96852.88530906063, 718259.0563179341 96833.43288353826, 718258.1414870765 96829.08985954833, 718254.2699983126 96819.83036247372, 718210.2 96836);109.49293821531532
159;LINESTRING (717514.3304974528 96815.75654824892, 717502.9 96836.10000000001);23.33478736063142
160;LINESTRING (717514.3304974528 96815.75654824892, 717478.2 96846);47.1177166255665
161;LINESTRING (717514.3304974528 96815.75654824892, 717527.4519690255 96903.55965215106);88.77813960140261
162;LINESTRING (717584.020670501 96799.08151094742, 717593.1003184225 96872.31877291527);73.79794405622503
163;LINESTRING (718065.6030339706 96833.86179821295, 718060.314329532 97021.87793728865);188.09050732977263
164;LINESTRING (717716.8110069723 96736.46377150671, 717733.608176121 96876.70808993408);141.24664152668524
